id,省份,类型,lat,long,传感器数量
1,北京市,火电,40.52456787,116.4621149,1090
2,北京市,火电,40.55394048,116.6003821,1272
3,北京市,火电,40.42362692,116.4276773,1611
4,天津市,火电,40.1584546,117.5565729,986
5,天津市,火电,39.10144264,117.8346447,1438
6,天津市,火电,39.48670976,117.1660269,979
7,天津市,火电,38.85980182,117.3024106,561
8,天津市,火电,38.7916371,117.3118241,1695
9,天津市,光伏,38.75955858,117.4442238,1471
10,上海市,火电,31.02495656,120.9590515,1187
11,上海市,火电,31.65252391,121.4662758,964
12,上海市,火电,30.96119701,121.1815856,1490
13,上海市,火电,31.2441763,121.6259096,1574
14,上海市,火电,31.39769149,121.1721426,1221
15,上海市,火电,31.61689548,121.7274071,638
16,重庆市,火电,30.05913495,106.556201,1542
17,重庆市,火电,29.15422174,105.811224,546
18,重庆市,火电,30.57676816,108.3370919,1846
19,重庆市,火电,31.38109067,109.7706353,1207
20,重庆市,水电,30.06063694,107.7280189,1919
21,重庆市,水电,31.11293222,109.8288597,1599
22,重庆市,水电,28.45284613,108.7522431,896
23,重庆市,水电,28.44481841,109.0282666,1630
24,重庆市,水电,31.00657976,109.4104584,666
25,西藏自治区,光伏,27.79911033,89.23620605,1749
26,广西壮族自治区,火电,23.48061819,110.0460802,993
27,广西壮族自治区,火电,25.22892949,109.2414535,560
28,广西壮族自治区,火电,22.16046444,107.6401562,1614
29,广西壮族自治区,火电,23.97764973,108.891121,511
30,广西壮族自治区,水电,22.00662236,109.9149753,1810
31,广西壮族自治区,水电,22.07143132,109.6246178,1990
32,广西壮族自治区,水电,22.01315379,109.1322622,1096
33,广西壮族自治区,水电,23.40760839,108.4633394,1077
34,广西壮族自治区,水电,24.04379946,109.7271261,659
35,广西壮族自治区,水电,24.12808787,106.8223691,1911
36,广西壮族自治区,水电,24.54037476,106.3356226,690
37,广西壮族自治区,水电,21.91197879,108.2102795,643
38,广西壮族自治区,水电,25.24143345,111.1120939,1941
39,广西壮族自治区,水电,24.41508147,107.2011676,1833
40,广西壮族自治区,水电,23.15908182,111.1581359,1574
41,广西壮族自治区,水电,25.5483357,109.1253693,1910
42,广西壮族自治区,水电,21.93777323,107.9855454,1567
43,广西壮族自治区,水电,24.76092872,111.7627462,603
44,广西壮族自治区,水电,22.50654551,106.7417714,1273
45,广西壮族自治区,水电,24.71523239,111.3730509,1313
46,广西壮族自治区,水电,22.01876617,107.7631558,758
47,广西壮族自治区,风电,24.93944566,108.0790252,855
48,广西壮族自治区,光伏,24.0536418,109.3783618,1502
49,内蒙古自治区,火电,48.70345914,123.8223773,897
50,内蒙古自治区,火电,44.0619673,118.2458773,1014
51,内蒙古自治区,火电,49.4352855,118.2031257,1306
52,内蒙古自治区,火电,42.12155912,109.7100452,1211
53,内蒙古自治区,火电,42.53909258,121.7894465,1808
54,内蒙古自治区,火电,49.06813808,119.8533869,984
55,内蒙古自治区,火电,41.14856436,111.3848445,1634
56,内蒙古自治区,火电,51.04506411,120.2569254,618
57,内蒙古自治区,火电,39.91847748,109.7284717,908
58,内蒙古自治区,火电,44.5411575,116.819123,605
59,内蒙古自治区,火电,40.5843384,112.1595994,1517
60,内蒙古自治区,火电,44.24198176,111.7683819,1432
61,内蒙古自治区,火电,47.36995751,122.1526134,928
62,内蒙古自治区,火电,41.60068519,118.2765163,1831
63,内蒙古自治区,火电,43.76028777,115.4774497,1973
64,内蒙古自治区,火电,41.58288308,103.0873528,1410
65,内蒙古自治区,火电,39.96831153,105.0835956,1316
66,内蒙古自治区,火电,40.49195944,108.0215651,801
67,内蒙古自治区,火电,41.63605602,113.4197667,1945
68,内蒙古自治区,火电,43.67101371,121.5040494,578
69,内蒙古自治区,火电,41.88318544,108.8007268,1679
70,内蒙古自治区,火电,39.70052659,110.2582583,1407
71,内蒙古自治区,火电,44.94094643,118.7438171,569
72,内蒙古自治区,火电,41.8299447,112.0151226,921
73,内蒙古自治区,火电,40.94446024,103.5920161,1968
74,内蒙古自治区,火电,41.49763297,108.8196344,1132
75,内蒙古自治区,火电,41.00509585,113.2050124,986
76,内蒙古自治区,火电,41.83551829,104.4504011,1849
77,内蒙古自治区,风电,38.64207465,104.8028592,1545
78,内蒙古自治区,风电,41.64072988,106.7374858,1792
79,内蒙古自治区,风电,41.57385086,99.72849251,660
80,内蒙古自治区,风电,42.23653817,110.6001736,1814
81,内蒙古自治区,风电,50.91193003,120.8422338,1673
82,内蒙古自治区,风电,39.6526313,102.516722,1125
83,内蒙古自治区,风电,40.60096509,110.4766598,1105
84,内蒙古自治区,风电,50.19932147,125.026406,1260
85,内蒙古自治区,风电,43.69373652,119.2454781,1158
86,内蒙古自治区,风电,44.09598271,111.9775277,1452
87,内蒙古自治区,风电,41.18883607,99.07776339,1073
88,内蒙古自治区,风电,41.06654037,98.79049128,1039
89,内蒙古自治区,风电,48.55598697,118.283471,1550
90,内蒙古自治区,风电,43.95896969,114.9464675,1380
91,内蒙古自治区,风电,44.09269544,114.2259783,551
92,内蒙古自治区,风电,43.28549093,118.6889901,1440
93,内蒙古自治区,风电,49.17644366,119.9167531,941
94,内蒙古自治区,风电,42.59637657,112.1746841,632
95,内蒙古自治区,风电,41.5949635,104.8796561,1385
96,内蒙古自治区,风电,45.42096877,117.2435184,1194
97,内蒙古自治区,风电,40.79548773,102.5688825,806
98,内蒙古自治区,风电,41.6408976,110.8413334,837
99,内蒙古自治区,风电,41.2416443,99.58096561,1608
100,内蒙古自治区,风电,37.97706886,108.5685036,1118
101,内蒙古自治区,风电,40.42221172,111.0129495,1831
102,内蒙古自治区,风电,39.40491106,108.6158193,1505
103,内蒙古自治区,风电,41.33490657,102.8689456,751
104,内蒙古自治区,风电,42.36898701,100.8435972,823
105,内蒙古自治区,风电,47.71212601,121.4871002,1023
106,内蒙古自治区,风电,44.61091979,115.2617027,1029
107,内蒙古自治区,风电,39.38642587,101.5106498,1326
108,内蒙古自治区,风电,41.90861772,107.9688047,571
109,内蒙古自治区,风电,50.46549415,123.8478628,845
110,内蒙古自治区,风电,42.90816311,116.667777,1398
111,内蒙古自治区,风电,49.23318194,116.7881978,1846
112,内蒙古自治区,风电,39.156063,104.506796,1965
113,内蒙古自治区,风电,49.80758516,124.6250289,782
114,内蒙古自治区,风电,43.76814447,114.8941476,635
115,内蒙古自治区,风电,47.45420919,120.1994317,1829
116,内蒙古自治区,风电,43.4931372,120.5532693,1212
117,内蒙古自治区,风电,41.88836474,99.72354801,1681
118,内蒙古自治区,光伏,48.58817615,121.9339207,1116
119,内蒙古自治区,光伏,47.58109811,121.7230835,598
120,内蒙古自治区,光伏,41.63263074,111.2168948,1656
121,内蒙古自治区,光伏,40.02516799,104.8985215,1158
122,内蒙古自治区,光伏,50.94470745,123.8659729,601
123,内蒙古自治区,光伏,49.93984853,122.5175947,1760
124,内蒙古自治区,光伏,47.44396148,119.452936,642
125,内蒙古自治区,光伏,39.62901564,105.1183696,726
126,内蒙古自治区,光伏,41.14461485,109.7653392,811
127,内蒙古自治区,光伏,44.28580747,119.9247748,1223
128,内蒙古自治区,光伏,43.7296099,122.2866241,1099
129,宁夏回族自治区,火电,38.26184531,106.3972875,797
130,宁夏回族自治区,火电,38.15536722,106.5245317,1575
131,宁夏回族自治区,火电,37.21813102,105.3457597,1285
132,宁夏回族自治区,火电,38.03274597,106.0102578,1304
133,宁夏回族自治区,火电,36.27383479,106.3916181,1052
134,宁夏回族自治区,火电,35.37652167,106.3865811,1178
135,宁夏回族自治区,火电,36.96942659,106.5692281,1024
136,宁夏回族自治区,火电,35.95238241,106.5802127,760
137,宁夏回族自治区,风电,37.37699344,105.7032613,888
138,宁夏回族自治区,风电,39.27314624,106.5971186,1286
139,宁夏回族自治区,风电,37.89312246,106.3154724,1234
140,宁夏回族自治区,风电,39.1126202,106.1473499,1606
141,宁夏回族自治区,风电,37.91233499,106.23229,1383
142,宁夏回族自治区,风电,39.06868513,106.3465405,1205
143,宁夏回族自治区,风电,35.66694842,105.8797481,1723
144,宁夏回族自治区,风电,36.76300763,106.1167692,1205
145,宁夏回族自治区,风电,35.92151414,105.6091553,1229
146,宁夏回族自治区,风电,37.67040489,107.2272799,1210
147,宁夏回族自治区,风电,37.68908379,106.0155815,1601
148,宁夏回族自治区,光伏,38.76010779,106.3304105,711
149,宁夏回族自治区,光伏,36.48382901,105.4466857,1637
150,宁夏回族自治区,光伏,35.79365084,105.6576527,765
151,宁夏回族自治区,光伏,36.92689581,105.5476378,1477
152,宁夏回族自治区,光伏,38.13776758,106.050451,1162
153,宁夏回族自治区,光伏,39.20779936,106.7230878,1584
154,宁夏回族自治区,光伏,36.40174068,105.9740773,1208
155,宁夏回族自治区,光伏,37.67416043,105.2344967,1304
